Date;Url;Nombre requêtes;Taille(kb);Taille du dom;GES;Eau;ecoIndex;Note
06/11/2024 14:30:25;"https://cin3il.alwaysdata.net/infos.php";9;8;99;1.18;1.77;90.85;A
06/11/2024 14:30:15;"https://cin3il.alwaysdata.net/gallery.php";13;33;103;1.20;1.80;90.07;A
06/11/2024 14:29:04;"https://cin3il.alwaysdata.net/movies.php";9;343;105;1.22;1.83;88.92;A
06/11/2024 14:28:36;"https://cin3il.alwaysdata.net/accueil.php";10;118;66;1.17;1.75;91.60;A
